t_s,ground_station,serving_sat,serving_el_deg,src_sat,path,hops,prop_delay_ms,reachable
2000,Sao-Paulo,,,0,UNREACHABLE,,,False
2010,Tokyo,0,29.22,0,0→6,1,3.372,True
2010,Sao-Paulo,,,0,UNREACHABLE,,,False
2020,Tokyo,0,31.8,0,0→6,1,3.18,True
2020,Sao-Paulo,,,0,UNREACHABLE,,,False
2030,Tokyo,0,34.66,0,0→6,1,2.994,True
2030,Sao-Paulo,,,0,UNREACHABLE,,,False
2040,Tokyo,0,37.85,0,0→6,1,2.815,True
2040,Sao-Paulo,,,0,UNREACHABLE,,,False
2050,Tokyo,0,41.42,0,0→6,1,2.644,True
2050,Sao-Paulo,,,0,UNREACHABLE,,,False
2060,Tokyo,0,45.41,0,0→6,1,2.484,True
2060,Sao-Paulo,,,0,UNREACHABLE,,,False
2070,Tokyo,0,49.87,0,0→6,1,2.335,True
2070,Sao-Paulo,,,0,UNREACHABLE,,,False
2080,Tokyo,0,54.83,0,0→6,1,2.202,True
2080,Sao-Paulo,,,0,UNREACHABLE,,,False
2090,Tokyo,0,60.28,0,0→6,1,2.086,True
2090,Sao-Paulo,,,0,UNREACHABLE,,,False
2100,Tokyo,0,66.16,0,0→6,1,1.99,True
2100,Sao-Paulo,,,0,UNREACHABLE,,,False
2110,Tokyo,0,72.21,0,0→6,1,1.919,True
2110,Sao-Paulo,,,0,UNREACHABLE,,,False
2120,Tokyo,0,77.73,0,0→6,1,1.874,True
2120,Sao-Paulo,,,0,UNREACHABLE,,,False
2130,Tokyo,0,80.62,0,0→6,1,1.857,True
2130,Sao-Paulo,,,0,UNREACHABLE,,,False
2140,Tokyo,0,78.33,0,0→6,1,1.87,True
2140,Sao-Paulo,,,0,UNREACHABLE,,,False
2150,Tokyo,0,72.98,0,0→6,1,1.912,True
2150,Sao-Paulo,,,0,UNREACHABLE,,,False
2160,Tokyo,0,66.94,0,0→6,1,1.98,True
2160,Sao-Paulo,,,0,UNREACHABLE,,,False
2170,Tokyo,0,61.03,0,0→6,1,2.072,True
2170,Sao-Paulo,,,0,UNREACHABLE,,,False
2180,Tokyo,0,55.51,0,0→6,1,2.186,True
2180,Sao-Paulo,,,0,UNREACHABLE,,,False
2190,Tokyo,0,50.48,0,0→6,1,2.317,True
2190,Sao-Paulo,,,0,UNREACHABLE,,,False
2200,Tokyo,0,45.96,0,0→6,1,2.464,True
2200,Sao-Paulo,,,0,UNREACHABLE,,,False
2210,Tokyo,0,41.91,0,0→6,1,2.623,True
2210,Sao-Paulo,,,0,UNREACHABLE,,,False
2220,Tokyo,0,38.29,0,0→6,1,2.792,True
2220,Sao-Paulo,,,0,UNREACHABLE,,,False
2230,Tokyo,0,35.05,0,0→6,1,2.971,True
2230,Sao-Paulo,,,0,UNREACHABLE,,,False
2240,Tokyo,0,32.15,0,0→6,1,3.156,True
2240,Sao-Paulo,,,0,UNREACHABLE,,,False
2250,Tokyo,0,29.54,0,0→6,1,3.347,True
2250,Sao-Paulo,,,0,UNREACHABLE,,,False
2260,Tokyo,0,27.18,0,0→6,1,3.543,True
2260,Sao-Paulo,,,0,UNREACHABLE,,,False
2270,Tokyo,0,25.03,0,0→6,1,3.744,True
2270,Sao-Paulo,,,0,UNREACHABLE,,,False
2280,Tokyo,0,23.08,0,0→6,1,3.947,True
2280,Sao-Paulo,,,0,UNREACHABLE,,,False
2290,Tokyo,0,21.28,0,0→6,1,4.154,True
2290,Sao-Paulo,,,0,UNREACHABLE,,,False
2300,Tokyo,0,19.63,0,0→6,1,4.364,True
2300,Sao-Paulo,,,0,UNREACHABLE,,,False
2310,Tokyo,0,18.1,0,0→6,1,4.575,True
2310,Sao-Paulo,,,0,UNREACHABLE,,,False
2320,Tokyo,0,16.68,0,0→6,1,4.788,True
2320,Sao-Paulo,,,0,UNREACHABLE,,,False
2330,Tokyo,0,15.36,0,0→6,1,5.003,True
2330,Sao-Paulo,,,0,UNREACHABLE,,,False
