gs,sat,start_s,end_s,duration_s
Tokyo,573,12960,13290,330
Tokyo,574,12810,13110,300
Tokyo,575,12630,12930,300
Tokyo,576,12450,12720,270
Tokyo,577,12270,12540,270
Tokyo,579,17850,18000,150
Tokyo,580,17670,18000,330
Tokyo,581,17490,17820,330
Tokyo,582,17310,17640,330
Tokyo,583,17130,17460,330
Tokyo,584,16950,17280,330
Tokyo,585,16770,17100,330
Tokyo,586,16590,16920,330
Tokyo,587,16410,16740,330
Tokyo,588,16230,16560,330
Tokyo,589,16080,16380,300
Tokyo,590,15900,16200,300
Tokyo,591,15720,16020,300
Tokyo,592,15540,15840,300
Tokyo,593,15360,15660,300
Tokyo,594,15180,15480,300
Tokyo,595,15030,15300,270
Tokyo,596,14850,15120,270
Tokyo,597,14670,14940,270
Tokyo,598,14490,14760,270
Tokyo,599,14340,14580,240
Tokyo,600,14160,14370,210
Tokyo,601,14010,14190,180
Tokyo,602,13830,14010,180
Tokyo,603,13680,13800,120
Tokyo,604,13500,13620,120
Tokyo,605,13350,13410,60
Tokyo,612,17940,18000,60
Tokyo,613,17760,18000,240
Tokyo,614,17580,17880,300
Tokyo,615,17400,17700,300
Tokyo,616,17250,17490,240
Tokyo,617,17070,17310,240
Tokyo,618,16890,17130,240
Tokyo,619,16740,16950,210
Tokyo,620,16560,16770,210
Tokyo,621,16410,16560,150
Tokyo,622,16230,16380,150
Tokyo,623,16080,16200,120
Tokyo,624,15900,15990,90
Tokyo,625,15780,15780,0
Tokyo,1095,930,960,30
Tokyo,1096,720,810,90
Tokyo,1097,540,660,120
Tokyo,1098,330,480,150
Tokyo,1099,150,330,180
Tokyo,1100,0,150,150
Tokyo,1101,0,0,0
Tokyo,1122,1980,2220,240
Tokyo,1123,1770,2040,270
Tokyo,1124,1590,1890,300
Tokyo,1125,1410,1710,300
Tokyo,1126,1230,1530,300
Tokyo,1127,1050,1350,300
Tokyo,1128,870,1170,300
Tokyo,1129,690,1020,330
Tokyo,1130,510,840,330
Tokyo,1131,330,660,330
Tokyo,1132,150,480,330
Tokyo,1133,0,300,300
Tokyo,1134,0,120,120
Tokyo,1148,3510,3510,0
Tokyo,1149,3300,3390,90
Tokyo,1150,3090,3210,120
Tokyo,1151,2910,3060,150
Tokyo,1152,2730,2880,150
